text@ns1991m	@ns1991m	1107.816	1108.756	с моей что ли //
text@ns1991m	@ns1991m	1110.375	1111.497	#смеется# //
text@ns1991m	@ns1991m	1123.273	1124.336	да о чем ты говоришь //
text@ns1991m	@ns1991m	1134.523	1139.0	эээ из-за желания / стать вот наверно таковым //
text@ns1991m	@ns1991m	1140.098	1143.831	и я / я думаю / по-настоящему / я таким не являюсь //
text@ns1991m	@ns1991m	1144.508	1147.137	это лишь образ и мне нравится играть в него //
text@ns1991m	@ns1991m	1149.401	1151.185	думаю да что бы это ни значило
text@ns1991m	@ns1991m	1151.187	1153.307	#смеется# //
text@ns1991m	@ns1991m	1154.465	1157.718	ты пожалуйста / не говори инфу давай сделаем вид что друг друга поняли //
text@ns1991m	@ns1991m	1165.951	1166.565	да //
text@ns1991m	@ns1991m	1170.903	1173.839	огромные / и в огромном количестве //
text@ns1991m	@ns1991m	1176.387	1176.806	думаю да //
text@ns1991m	@ns1991m	1177.193	1227.37	вообще многие идут в стендап и в комедию чтобы завоёвывать / внимание девушек / ну / когда это речь идёт о парнях // и я был ээ в том числе и таким то есть я / видел что если в компании / в подростковом возрасте / я шучу / и в каких-то ситуациях забираю внимание от вот таких вот ребят к себе / ты думаешь фуууф хех то есть мне качаться не надо для этого / расстегивать рубашку или снимать // выдавливать ничего не надо то есть она смеется / ну или даже они / ну и ты такой / ты сразу ощущаешь себя лучше / может быть даже выше них // и ты давишь на эту точку ну бывае... бывало неудачно бывало удачно / но ты этот момент понимаешь / где-то он здесь витает и ты такой хоп / окей / ложим вот сюда //
text@ns1991m	@ns1991m	1231.419	1234.032	#смеётся# //
text@ns1991m	@ns1991m	1234.37	1235.774	аа я поехал ребят
text@ns1991m	@ns1991m	1238.791	1239.386	да да да
text@ns1991m	@ns1991m	1240.878	1243.362	о Господи / о Господи #смеётся#
text@ns1991m	@ns1991m	1245.0	1245.653	это м...
text@ns1991m	@ns1991m	1246.34	1247.439	это мой друг Ана... //
text@ns1991m	@ns1991m	1248.729	1250.561	э ты имеешь ввиду справа или э
text@ns1991m	@ns1991m	1251.636	1252.309	да да да //
text@ns1991m	@ns1991m	1252.508	1297.0	так / э я объясню / это было в Екатеринбурге это было в общаге / #чмокнул# ээ / в мом... / сука / её / надо было закрыть эту страницу Вконтакте вообще // ээ это была какая-то студенческая пв... какой-то съезд // типа творческие я даже не помню / в чём его суть была / просто приезжали студенты с разных городов в том числе из Казахстана // лекции / и э что-то / творческие вечера / какие-то что-то /какая-то движуха на три дня //  и я там участвовал / как-то случайно туда попал не помню / я / не был организатором и так далее // #вздох# вот и приехал мой друг на эту движуху / с Караганды // это мой друг со Степногорска Анар / и / мы там тусовались и я был таким человеком да //
text@ns1991m	@ns1991m	1298.57	1302.523	мм // щас дай сообразить / это десятый год / сколько / девятнадцать ? //
text@ns1991m	@ns1991m	1305.45	1305.929	нет //
text@ns1991m	@ns1991m	1311.118	1311.98	#смеется# //
text@ns1991m	@ns1991m	1312.626	1313.132	да //
text@ns1991m	@ns1991m	1317.96	1318.574	не не не //
text@ns1991m	@ns1991m	1326.764	1327.333	мама //
text@ns1991m	@ns1991m	1330.099	1335.059	ммм ну он эээ ушёл когда я еще был ээ совсем маленьким //
text@ns1991m	@ns1991m	1338.346	1342.431	эээ минимально // он б... жил в / доме где мы жили //
text@ns1991m	@ns1991m	1345.411	1347.098	эээ д... редко //
